Order_ID,Order_Date,Customer_ID,Restaurant_Name,Food_Category,Order_Value,Delivery_Time,Rating,Payment_Method,City,Order_Status
100001,2025-08-29,C9054,Mumbai Tadka,Beverages,1174,17,3.6,UPI,Mumbai - Colaba,Delivered
100002,2025-02-23,C7477,Marine Drive Meals,North Indian,902,55,4.7,Wallet,Mumbai - Colaba,Cancelled
100003,2025-12-19,C9698,Marine Drive Meals,Pizza,1586,20,3.0,Wallet,Mumbai - Andheri,Delivered
100004,2026-04-21,C7416,Bandra Bites,Healthy Food,1763,84,2.9,Wallet,Mumbai - Powai,Cancelled
100005,2025-12-30,C4995,Borivali Bistro,South Indian,553,82,4.4,Credit Card,Mumbai - Kurla,Cancelled
100006,2025-06-21,C9744,Ghatkopar Grill,Desserts,391,69,2.8,UPI,Mumbai - Bandra,Delivered
100007,2025-10-24,C3538,Marine Drive Meals,North Indian,1057,85,2.9,Debit Card,Mumbai - Bandra,Delivered
100008,2025-12-19,C3572,Chembur Spice House,Biryani,181,78,3.7,Wallet,Mumbai - Vashi,Cancelled
100009,2025-03-29,C8877,Andheri Kitchen,Chinese,1109,64,4.8,UPI,Mumbai - Powai,Delivered
100010,2025-11-25,C7929,Dadar Darbar,Burger,1262,19,4.2,Debit Card,Mumbai - Andheri,Delivered
100011,2025-03-12,C6733,Marine Drive Meals,Burger,1088,65,2.9,Debit Card,Mumbai - Bandra,Delivered
100012,2026-05-24,C8894,Marine Drive Meals,North Indian,773,63,4.3,Credit Card,Mumbai - Andheri,Cancelled
100013,2025-07-10,C1278,Powai Plates,Biryani,628,74,4.0,UPI,Mumbai - Bandra,Delivered
100014,2025-11-30,C9960,Colaba Cafe,Burger,1754,38,4.0,Cash,Mumbai - Mulund,Delayed
100015,2025-11-21,C4179,Mumbai Tadka,Burger,1238,24,4.8,Wallet,Mumbai - Malad,Delivered
100016,2026-01-14,C5860,Chembur Spice House,Pizza,1484,59,4.5,Wallet,Mumbai - Borivali,Delayed
100017,2026-03-22,C5207,Ghatkopar Grill,South Indian,332,83,2.9,Debit Card,Mumbai - Chembur,Delivered
100018,2026-01-01,C7970,Ghatkopar Grill,Healthy Food,684,69,2.7,Credit Card,Mumbai - Kurla,Cancelled
100019,2025-12-17,C2191,Chembur Spice House,North Indian,329,41,4.4,Cash,Mumbai - Chembur,Delayed
